Timestamp,Status,ResponseTime,Reply
2026-06-26 17:43:15,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:43:17,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:43:18,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
2026-06-26 17:43:19,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:43:21,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:43:22,SUCCESS,257ms,Reply from 4.2.2.2: bytes=32 time=257ms TTL=50
2026-06-26 17:43:23,SUCCESS,274ms,Reply from 4.2.2.2: bytes=32 time=274ms TTL=50
2026-06-26 17:43:24,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:43:26,SUCCESS,272ms,Reply from 4.2.2.2: bytes=32 time=272ms TTL=50
2026-06-26 17:43:27,SUCCESS,294ms,Reply from 4.2.2.2: bytes=32 time=294ms TTL=50
2026-06-26 17:43:28,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:43:30,SUCCESS,255ms,Reply from 4.2.2.2: bytes=32 time=255ms TTL=50
2026-06-26 17:43:31,SUCCESS,270ms,Reply from 4.2.2.2: bytes=32 time=270ms TTL=50
2026-06-26 17:43:32,SUCCESS,255ms,Reply from 4.2.2.2: bytes=32 time=255ms TTL=50
2026-06-26 17:43:34,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:43:35,SUCCESS,292ms,Reply from 4.2.2.2: bytes=32 time=292ms TTL=50
2026-06-26 17:43:36,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
2026-06-26 17:43:37,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:43:39,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:43:40,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:43:41,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:43:43,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:43:44,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:43:46,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:43:47,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:43:48,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:43:49,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:43:51,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:43:52,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:43:53,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:43:55,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:43:56,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:43:57,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
